"cityNameUa","cityNameRu","oblastNameRu","oblastNameUa"
"Авдіївка","Авдеевка","Донецкая","Донецька"
"Алмазна","Алмазная","Луганская","Луганська"
"Алупка","Алупка","AР Крым","AР Крим"
"Алушта","Алушта","AР Крым","AР Крим"
"Алчевськ","Алчевск","Луганская","Луганська"
"Амвросіївка","Амвросиевка","Донецкая","Донецька"
"Ананьїв","Ананьев","Одесская","Одеська"
"Андрушівка","Андрушёвка","Житомирская","Житомирська"
"Антрацит","Антрацит","Луганская","Луганська"
"Апостолове","Апостолово","Днепропетровская","Дніпропетровська"
"Армянськ","Армянск","AР Крым","AР Крим"
"Арциз","Арциз","Одесская","Одеська"
"Балаклія","Балаклея","Харьковская","Харківська"
"Балта","Балта","Одесская","Одеська"
"Бар","Бар","Винницкая","Вінницька"
"Баранівка","Барановка","Житомирская","Житомирська"
"Барвінкове","Барвенково","Харьковская","Харківська"
"Батурин","Батурин","Черниговская","Чернігівська"
"Бахмач","Бахмач","Черниговская","Чернігівська"
"Бахмут","Бахмут","Донецкая","Донецька"
"Бахчисарай","Бахчисарай","AР Крым","AР Крим"
"Баштанка","Баштанка","Николаевская","Миколаївська"
"Белз","Белз","Львовская","Львівська"
"Бердичів","Бердичев","Житомирская","Житомирська"
"Бердянськ","Бердянск","Запорожская","Запорізька"
"Берегове","Берегово","Закарпатская","Закарпатська"
"Бережани","Бережаны","Тернопольская","Тернопільська"
"Березань","Березань","Киевская","Київська"
"Березівка","Березовка","Одесская","Одеська"
"Березне","Березно","Ровненская","Рівненська"
"Берестечко","Берестечко","Волынская","Волинська"
"Берислав","Берислав","Херсонская","Херсонська"
"Бершадь","Бершадь","Винницкая","Вінницька"
"Бібрка","Бобрка","Львовская","Львівська"
"Біла Церква","Белая Церковь","Киевская","Київська"
"Білгород-Дністровський","Белгород-Днестровский","Одесская","Одеська"
"Білицьке","Белицкое","Донецкая","Донецька"
"Білогірськ","Белогорск","AР Крым","AР Крим"
"Білозерське","Белозёрское","Донецкая","Донецька"
"Білопілля","Белополье","Сумская","Сумська"
"Біляївка","Беляевка","Одесская","Одеська"
"Благовіщенське","Благовещенское","Кировоградская","Кіровоградська"
"Бобринець","Бобринец","Кировоградская","Кіровоградська"
"Бобровиця","Бобровица","Черниговская","Чернігівська"
"Богодухів","Богодухов","Харьковская","Харківська"
"Богуслав","Богуслав","Киевская","Київська"
"Боково-Хрустальне","Боково-Хрустальное","Луганская","Луганська"
"Болград","Болград","Одесская","Одеська"
"Болехів","Болехов","Ивано-Франковская","Івано-Франківська"
"Борзна","Борзна","Черниговская","Чернігівська"
"Борислав","Борислав","Львовская","Львівська"
"Бориспіль","Борисполь","Киевская","Київська"
"Борщів","Борщёв","Тернопольская","Тернопільська"
"Боярка","Боярка","Киевская","Київська"
"Бровари","Бровары","Киевская","Київська"
"Броди","Броды","Львовская","Львівська"
"Брянка","Брянка","Луганская","Луганська"
"Бунге","Бунге","Донецкая","Донецька"
"Буринь","Бурынь","Сумская","Сумська"
"Бурштин","Бурштын","Ивано-Франковская","Івано-Франківська"
"Буськ","Буск","Львовская","Львівська"
"Буча","Буча","Киевская","Київська"
"Бучач","Бучач","Тернопольская","Тернопільська"
"Валки","Валки","Харьковская","Харківська"
"Вараш","Вараш","Ровненская","Рівненська"
"Василівка","Васильевка","Запорожская","Запорізька"
"Васильків","Васильков","Киевская","Київська"
"Ватутіне","Ватутино","Черкасская","Черкаська"
"Вашківці","Вашковцы","Черновицкая","Чернівецька"
"Великі Мости","Великие Мосты","Львовская","Львівська"
"Верхівцеве","Верховцево","Днепропетровская","Дніпропетровська"
"Верхньодніпровськ","Верхнеднепровск","Днепропетровская","Дніпропетровська"
"Вижниця","Вижница","Черновицкая","Чернівецька"
"Вилкове","Вилково","Одесская","Одеська"
"Винники","Винники","Львовская","Львівська"
"Виноградів","Виноградов","Закарпатская","Закарпатська"
"Вишгород","Вышгород","Киевская","Київська"
"Вишневе","Вишнёвое","Киевская","Київська"
"Вільногірськ","Вольногорск","Днепропетровская","Дніпропетровська"
"Вільнянськ","Вольнянск","Запорожская","Запорізька"
"Вінниця","Винница","Винницкая","Вінницька"
"Вовчанськ","Волчанск","Харьковская","Харківська"
"Вознесенівка","Вознесеновка","Луганская","Луганська"
"Вознесенськ","Вознесенск","Николаевская","Миколаївська"
"Волноваха","Волноваха","Донецкая","Донецька"
"Володимир-Волинський","Владимир-Волынский","Волынская","Волинська"
"Волочиськ","Волочиск","Хмельницкая","Хмельницька"
"Ворожба","Ворожба","Сумская","Сумська"
"Вуглегірськ","Углегорск","Донецкая","Донецька"
"Вугледар","Угледар","Донецкая","Донецька"
"Гадяч","Гадяч","Полтавская","Полтавська"
"Гайворон","Гайворон","Кировоградская","Кіровоградська"
"Гайсин","Гайсин","Винницкая","Вінницька"
"Галич","Галич","Ивано-Франковская","Івано-Франківська"
"Генічеськ","Геническ","Херсонская","Херсонська"
"Герца","Герца","Черновицкая","Чернівецька"
"Гірник","Горняк","Донецкая","Донецька"
"Гірське","Горское","Луганская","Луганська"
"Глиняни","Глиняны","Львовская","Львівська"
"Глобине","Глобино","Полтавская","Полтавська"
"Глухів","Глухов","Сумская","Сумська"
"Гнівань","Гнивань","Винницкая","Вінницька"
"Гола Пристань","Голая Пристань","Херсонская","Херсонська"
"Голубівка","Голубовка","Луганская","Луганська"
"Горішні Плавні","Горишние Плавни","Полтавская","Полтавська"
"Горлівка","Горловка","Донецкая","Донецька"
"Городенка","Городенка","Ивано-Франковская","Івано-Франківська"
"Городище","Городище","Черкасская","Черкаська"
"Городня","Городня","Черниговская","Чернігівська"
"Городок","Городок","Львовская","Львівська"
"Городок","Городок","Львовская","Хмельницька"
"Горохів","Горохов","Волынская","Волинська"
