"cityNameUa","cityNameRu","oblastNameRu","oblastNameUa"
"Авдіївка","Авдеевка","Донецкая область","Донецька область"
"Алмазна","Алмазная","Луганская область","Луганська область"
"Алупка","Алупка","Автономная Республика Крым","Автономна Республіка Крим"
"Алушта","Алушта","Автономная Республика Крым","Автономна Республіка Крим"
"Алчевськ","Алчевск","Луганская область","Луганська область"
"Амвросіївка","Амвросиевка","Донецкая область","Донецька область"
"Ананьїв","Ананьев","Одесская область","Одеська область"
"Андрушівка","Андрушёвка","Житомирская область","Житомирська область"
"Антрацит","Антрацит","Луганская область","Луганська область"
"Апостолове","Апостолово","Днепропетровская область","Дніпропетровська область"
"Армянськ","Армянск","Автономная Республика Крым","Автономна Республіка Крим"
"Арциз","Арциз","Одесская область","Одеська область"
"Балаклія","Балаклея","Харьковская область","Харківська область"
"Балта","Балта","Одесская область","Одеська область"
"Бар","Бар","Винницкая область","Вінницька область"
"Баранівка","Барановка","Житомирская область","Житомирська область"
"Барвінкове","Барвенково","Харьковская область","Харківська область"
"Батурин","Батурин","Черниговская область","Чернігівська область"
"Бахмач","Бахмач","Черниговская область","Чернігівська область"
"Бахмут","Бахмут","Донецкая область","Донецька область"
"Бахчисарай","Бахчисарай","Автономная Республика Крым","Автономна Республіка Крим"
"Баштанка","Баштанка","Николаевская область","Миколаївська область"
"Белз","Белз","Львовская область","Львівська область"
"Бердичів","Бердичев","Житомирская область","Житомирська область"
"Бердянськ","Бердянск","Запорожская область","Запорізька область"
"Берегове","Берегово","Закарпатская область","Закарпатська область"
"Бережани","Бережаны","Тернопольская область","Тернопільська область"
"Березань","Березань","Киевская область","Київська область"
"Березівка","Березовка","Одесская область","Одеська область"
"Березне","Березно","Ровненская область","Рівненська область"
"Берестечко","Берестечко","Волынская область","Волинська область"
"Берислав","Берислав","Херсонская область","Херсонська область"
"Бершадь","Бершадь","Винницкая область","Вінницька область"
"Бібрка","Бобрка","Львовская область","Львівська область"
"Біла Церква","Белая Церковь","Киевская область","Київська область"
"Білгород-Дністровський","Белгород-Днестровский","Одесская область","Одеська область"
"Білицьке","Белицкое","Донецкая область","Донецька область"
"Білогірськ","Белогорск","Автономная Республика Крым","Автономна Республіка Крим"
"Білозерське","Белозёрское","Донецкая область","Донецька область"
"Білопілля","Белополье","Сумская область","Сумська область"
"Біляївка","Беляевка","Одесская область","Одеська область"
"Благовіщенське","Благовещенское","Кировоградская область","Кіровоградська область"
"Бобринець","Бобринец","Кировоградская область","Кіровоградська область"
"Бобровиця","Бобровица","Черниговская область","Чернігівська область"
"Богодухів","Богодухов","Харьковская область","Харківська область"
"Богуслав","Богуслав","Киевская область","Київська область"
"Боково-Хрустальне","Боково-Хрустальное","Луганская область","Луганська область"
"Болград","Болград","Одесская область","Одеська область"
"Болехів","Болехов","Ивано-Франковская область","Івано-Франківська область"
"Борзна","Борзна","Черниговская область","Чернігівська область"
"Борислав","Борислав","Львовская область","Львівська область"
"Бориспіль","Борисполь","Киевская область","Київська область"
"Борщів","Борщёв","Тернопольская область","Тернопільська область"
"Боярка","Боярка","Киевская область","Київська область"
"Бровари","Бровары","Киевская область","Київська область"
"Броди","Броды","Львовская область","Львівська область"
"Брянка","Брянка","Луганская область","Луганська область"
"Бунге","Бунге","Донецкая область","Донецька область"
"Буринь","Бурынь","Сумская область","Сумська область"
"Бурштин","Бурштын","Ивано-Франковская область","Івано-Франківська область"
"Буськ","Буск","Львовская область","Львівська область"
"Буча","Буча","Киевская область","Київська область"
"Бучач","Бучач","Тернопольская область","Тернопільська область"
"Валки","Валки","Харьковская область","Харківська область"
"Вараш","Вараш","Ровненская область","Рівненська область"
"Василівка","Васильевка","Запорожская область","Запорізька область"
"Васильків","Васильков","Киевская область","Київська область"
"Ватутіне","Ватутино","Черкасская область","Черкаська область"
"Вашківці","Вашковцы","Черновицкая область","Чернівецька область"
"Великі Мости","Великие Мосты","Львовская область","Львівська область"
"Верхівцеве","Верховцево","Днепропетровская область","Дніпропетровська область"
"Верхньодніпровськ","Верхнеднепровск","Днепропетровская область","Дніпропетровська область"
"Вижниця","Вижница","Черновицкая область","Чернівецька область"
"Вилкове","Вилково","Одесская область","Одеська область"
"Винники","Винники","Львовская область","Львівська область"
"Виноградів","Виноградов","Закарпатская область","Закарпатська область"
"Вишгород","Вышгород","Киевская область","Київська область"
"Вишневе","Вишнёвое","Киевская область","Київська область"
"Вільногірськ","Вольногорск","Днепропетровская область","Дніпропетровська область"
"Вільнянськ","Вольнянск","Запорожская область","Запорізька область"
"Вінниця","Винница","Винницкая область","Вінницька область"
"Вовчанськ","Волчанск","Харьковская область","Харківська область"
"Вознесенівка","Вознесеновка","Луганская область","Луганська область"
"Вознесенськ","Вознесенск","Николаевская область","Миколаївська область"
"Волноваха","Волноваха","Донецкая область","Донецька область"
"Володимир-Волинський","Владимир-Волынский","Волынская область","Волинська область"
"Волочиськ","Волочиск","Хмельницкая область","Хмельницька область"
"Ворожба","Ворожба","Сумская область","Сумська область"
